Team,Player,Event,Mins,Secs,X,Y,X2,Y2
England,19,Pass,0,5,50,52,29,58
England,5,Pass,0,7,26,66,26,34
England,6,Pass,0,10,26,22,26,60
England,5,Pass,0,10,30,51,25,33
England,6,Pass,0,10,23,29,22,53
England,5,Pass,0,10,22,51,25,26
England,6,Pass,0,10,27,30,26,53
England,5,Pass,0,10,23,47,26,28
England,6,Pass,0,10,23,45,25,22
England,5,Pass,0,10,22,40,24,17
England,6,Pass,0,10,21,21,28,4
England,3,longpass,0,10,28,4,80,8
England,4,Pass,0,11,72,9,77,4
England,3,pass but blocked,0,11,77,4,80,5
England,12,Pass,0,11,17,36,5,46
England,1,longpass,0,11,5,46,47,16
England,10,Pass,0,11,35,45,24,25
England,3,Pass,0,11,24,26,57,11
England,10,Pass,0,11,43,3,30,6
England,3,Pass,0,11,22,17,15,48
England,1,Pass,0,11,15,48,20,60
England,5,Pass,0,11,21,60,16,26
England,6,Pass,0,11,17,33,18,64
England,5,Pass,0,11,22,66,24,79
England,12,Pass,0,11,24,78,51,68
England,9,Dribble,0,11,48,71,44,90
England,12,Pass,0,11,43,91,23,72
England,5,Pass,0,11,27,65,26,40
England,6,Pass,0,11,25,43,23,62
England,5,Pass,0,11,24,50,33,10
England,3,Pass,0,11,30,8,23,25
England,6,Pass,0,11,19,28,19,62
England,5,Pass,0,11,20,60,20,33
England,6,Pass,0,11,18,28,18,64
England,5,Pass,0,11,18,63,28,45
England,22,Pass,0,11,24,48,20,29
England,5,Pass,0,11,26,29,49,4
England,3,Dribble,0,11,48,4,39,3
England,9,Pass,0,11,42,61,35,11
England,3,Pass,0,11,45,6,53,4
England,10,Pass,0,11,44,8,30,21
England,6,Pass,0,11,26,23,40,15
England,4,Pass,0,11,39,16,27,29
England,6,Pass,0,11,28,26,28,55
England,5,Pass,0,11,27,61,34,83
England,12,Pass,0,11,30,83,21,66
England,5,Pass,0,11,24,59,25,30
England,6,Pass,0,11,19,33,42,7
England,19,Pass,0,11,34,3,31,16
England,4,Pass,0,11,30,17,44,5
England,3,pass but blocked,0,11,44,5,50,5
England,3,Pass,0,11,33,5,27,12
England,4,Pass,0,11,28,15,30,71
England,12,pass but blocked,0,11,31,71,81,80
England,22,Pass,0,11,76,86,79,93
England,12,Pass,0,11,79,93,75,88
England,22,pass but blocked,0,11,72,89,76,82
England,6,Pass,0,11,29,76,38,63
England,4,Pass,0,11,38,63,48,63
England,19,Pass,0,11,48,62,36,68
England,4,Pass,0,11,36,70,37,85
England,5,Pass,0,11,37,86,67,80
England,17,Pass,0,11,68,81,68,92
England,12,Pass,0,11,67,92,80,73
England,22,Pass,0,11,78,68,86,71
England,17,Pass,0,11,96,64,87,49
England,9,Shot,0,11,87,48,98,55
England,12,Pass,0,11,34,83,26,67
England,5,Pass,0,11,26,65,25,82
England,12,Pass,0,11,21,80,10,64
England,1,Pass,0,11,6,55,13,70
England,5,Pass,0,11,14,64,27,9
England,3,Pass,0,11,36,8,23,21
England,6,Pass,0,11,20,26,26,52
England,5,Pass,0,11,29,62,19,52
England,1,Pass,0,11,18,47,21,39
England,6,Pass,0,11,20,38,22,66
England,5,Pass,0,11,24,71,24,37
England,6,Pass,0,11,23,32,32,8
England,3,pass but blocked,0,11,31,7,47,1
England,3,Pass,0,11,40,3,26,8
England,6,Pass,0,11,24,9,31,54
England,4,Pass,0,11,31,56,50,82
England,12,Pass,0,11,47,86,38,68
England,4,Pass,0,11,35,71,30,31
England,6,Pass,0,11,25,28,39,6
England,3,Pass,0,11,40,8,57,3
England,10,Dribble,0,11,59,3,61,35
England,10,Pass,0,11,57,37,71,45
England,9,pass but blocked,0,11,73,47,80,57
England,4,Pass,0,11,54,49,57,74
England,12,pass but blocked,0,11,52,88,67,74
England,3,Pass,0,11,46,16,61,26
England,10,Pass,0,11,63,27,76,8
England,4,Pass,0,11,73,7,69,22
England,10,Pass,0,11,68,24,69,39
England,22,Pass,0,11,69,49,71,78
England,12,Pass,0,11,79,82,68,74
England,22,Pass,0,11,69,70,66,62
England,5,Pass,0,11,63,54,68,27
England,3,Pass,0,11,68,13,72,4
England,19,Pass,0,11,72,3,63,13
England,4,Pass,0,11,63,15,61,49
England,5,Pass,0,11,63,54,73,47
England,22,Pass,0,11,70,51,84,87
England,12,Pass,0,11,83,86,92,72
England,17,Cross,0,11,93,71,90,45
England,6,Pass,0,11,61,51,57,41
England,4,Pass,0,11,61,28,73,8
England,3,Pass,0,11,73,13,68,16
England,19,Pass,0,11,68,18,60,25
England,4,Pass,0,11,62,32,56,64
England,5,Pass,0,11,57,64,74,91
England,12,Pass,0,11,73,92,96,80
England,17,Pass,0,11,85,92,82,92
England,12,pass but blocked,0,11,81,92,84,90
England,6,Pass,0,11,25,25,46,57
England,9,Pass,0,11,38,60,43,71
England,17,Pass,0,11,43,73,39,51
England,22,Pass,0,11,41,48,44,20
England,3,Pass,0,11,42,19,38,24
England,4,Pass,0,11,36,28,38,64
England,5,Pass,0,11,38,64,60,63
England,17,Pass,0,11,59,62,67,55
England,10,Pass,0,11,67,52,63,50
England,17,Pass,0,11,63,50,71,21
England,3,Pass,0,11,81,8,89,24
England,10,Pass,0,11,93,17,85,18
England,3,Shot,0,11,85,19,96,45
England,1,Pass,0,11,4,58,68,60
England,9,pass but blocked,0,11,67,57,84,55
England,12,Pass,0,11,44,92,56,82
England,10,pass but blocked,0,11,56,83,57,87
England,12,Pass,0,11,55,85,54,78
England,22,Pass,0,11,54,79,39,78
England,5,Pass,0,11,36,72,31,39
England,6,Pass,0,11,30,35,40,10
England,3,Pass,0,11,38,9,61,5
England,10,Pass,0,11,52,9,35,3
England,3,Pass,0,11,33,6,24,42
England,1,Pass,0,11,22,44,27,54
England,5,Pass,0,11,27,57,36,58
England,4,Pass,0,11,34,61,37,80
England,12,Pass,0,11,37,82,22,77
England,5,Pass,0,11,23,56,32,19
England,6,Pass,0,11,29,8,8,32
England,1,Pass,0,11,8,36,15,64
England,5,Pass,0,11,15,64,26,51
England,4,Pass,0,11,25,53,16,54
England,5,Pass,0,11,21,39,26,21
