Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Germany,Musiala,Dribble,1,29,39,6,58,6
Germany,Mueller,Dribble,2,5,91,49,89,45
Germany,Mueller,Pass,2,7,85,42,72,32
Germany,Mueller,Pass,3,29,64,15,72,22
Germany,Musiala,Pass,3,32,67,25,52,16
Germany,Musiala,Pass,4,9,53,44,41,39
Germany,Mueller,Pass,5,48,26,23,37,18
Germany,Musiala,Dribble,5,51,36,15,55,20
Germany,Mueller,Pass,6,11,41,72,28,76
Germany,Musiala,Dribble,8,31,46,19,51,19
Germany,Mueller,Pass,8,48,40,84,44,82
Germany,Mueller,Pass,9,15,45,89,44,82
Germany,Musiala,Pass,10,38,57,38,53,43
Germany,Musiala,Pass,11,22,66,25,58,26
Germany,Musiala,Dribble,11,51,80,18,93,26
Germany,Musiala,Pass,12,16,76,21,71,23
Germany,Musiala,Pass,12,22,68,44,76,63
Germany,Musiala,Dribble,13,31,71,2,84,20
Germany,Musiala,Pass,13,33,83,23,82,30
Germany,Mueller,Intercept,18,55,40,92,46,90
Japan,Kubo,Intercept,21,36,37,21,34,20
Japan,Kubo,Dribble,21,38,30,19,14,11
Japan,Kubo,Cross,21,42,14,11,6,21
Germany,Musiala,Pass,23,13,58,35,55,45
Germany,Musiala,Dribble,24,16,68,28,75,29
Germany,Musiala,Pass,24,24,73,34,72,39
Germany,Mueller,Dribble,25,30,54,90,65,93
Germany,Mueller,Pass,25,44,80,80,76,77
Germany,Mueller,Pass,26,11,64,72,60,80
Germany,Mueller,Pass,27,22,74,72,62,52
Germany,Mueller,Dribble,28,31,60,73,66,77
Germany,Mueller,Pass,28,33,68,80,72,89
Japan,Kubo,Dribble,29,20,43,65,24,81
Germany,Mueller,Pass,29,55,68,87,59,79
Germany,Mueller,Pass,30,44,75,84,67,71
Germany,Mueller,Dribble,35,58,43,72,59,80
Germany,Musiala,Pass,36,55,29,15,22,19
Germany,Musiala,Pass,37,24,54,27,45,23
Germany,Mueller,Cross,37,33,86,79,79,29
Germany,Mueller,Pass,38,12,64,89,78,80
Germany,Mueller,Pass,38,14,70,74,78,64
Japan,Kubo,Dribble,38,38,67,85,56,89
Germany,Musiala,Pass,38,54,68,17,60,23
Japan,Kubo,Pass,39,5,66,44,62,32
Japan,Kubo,Cross,39,18,2,81,16,63
Germany,Mueller,Pass,40,28,79,47,69,40
Germany,Musiala,Pass,40,52,72,20,81,9
Germany,Mueller,Pass,41,12,78,50,75,52
Germany,Musiala,Pass,41,52,78,21,86,14
Germany,Musiala,Pass,43,12,84,57,90,37
Germany,Mueller,Pass,43,20,68,15,69,7
Germany,Mueller,Pass,43,34,72,21,67,15
Germany,Mueller,Pass,44,15,77,54,67,53
Germany,Musiala,Shot,44,52,82,52,98,40
Germany,Musiala,Dribble,45,2,70,20,85,22
Germany,Musiala,Pass,45,2,86,22,74,30
Germany,Musiala,Pass,45,2,78,26,82,49
Germany,Mueller,Pass,45,2,83,48,67,50
Germany,Musiala,Pass,45,2,61,62,50,48
Germany,Musiala,Pass,45,2,81,60,97,71
Germany,Mueller,Cross,45,2,96,69,91,43
Germany,Musiala,Pass,45,6,59,29,67,24
Japan,Tomiyasu,Pass,46,53,22,34,12,39
Japan,Tomiyasu,Pass,46,56,20,34,31,22
Germany,Musiala,Dribble,49,41,13,63,12,49
Germany,Musiala,Shot,49,50,11,46,1,46
Germany,Musiala,Pass,50,23,25,92,25,88
Japan,Tomiyasu,Pass,51,2,21,18,14,29
Japan,Tomiyasu,Pass,51,13,7,28,29,3
Japan,Tomiyasu,Pass,52,44,24,27,40,7
Germany,Musiala,Pass,56,33,60,66,57,58
Germany,Mueller,Pass,59,10,51,46,41,56
Germany,Musiala,Dribble,59,18,20,91,12,81
Germany,Musiala,Dribble,59,19,12,81,18,77
Germany,Musiala,Dribble,59,20,19,77,25,76
Germany,Musiala,Pass,59,25,23,74,30,65
Germany,Musiala,Pass,59,53,23,56,20,47
Germany,Musiala,Pass,60,22,26,72,31,68
Japan,Tomiyasu,Pass,60,41,16,4,26,4
Germany,Musiala,Pass,61,35,79,55,75,46
Germany,Mueller,Pass,61,43,55,88,67,85
Germany,Mueller,Pass,62,23,57,57,48,66
Germany,Mueller,Dribble,62,41,42,60,45,56
Germany,Mueller,Pass,62,44,45,55,53,55
Japan,Tomiyasu,Pass,63,40,27,5,16,12
Japan,Tomiyasu,Pass,63,59,18,8,10,39
Japan,Tomiyasu,Pass,65,38,66,22,83,27
Japan,Tomiyasu,Pass,67,43,21,3,32,11
Japan,Tomiyasu,Pass,67,48,17,22,14,40
Germany,Musiala,Pass,69,16,51,29,45,20
Germany,Musiala,Pass,69,52,27,51,29,44
Germany,Musiala,Pass,70,6,20,77,13,81
Japan,Tomiyasu,Pass,72,40,75,11,77,20
Japan,Tomiyasu,Pass,73,47,17,9,7,33
Japan,Tomiyasu,Pass,74,45,53,32,68,5
Japan,Tomiyasu,Pass,90,3,17,29,33,14
