Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Home,Vinicius,Pass,0,10,50,50,38,33
Home,Vinicius,Pass,0,26,70,18,70,35
Home,Vinicius,Dribble,0,37,80,29,94,41
Home,Vinicius,Shot,0,47,91,40,98,74
Home,Vinicius,Dribble,9,20,40,10,91,18
Home,Vinicius,Cross,9,24,92,22,83,67
Home,Vinicius,Shot Assist,9,48,89,35,97,45
Home,Vinicius,Dribble,10,4,37,15,71,30
Home,Vinicius,Pass,10,8,71,37,85,11
Home,Vinicius,Shot,10,15,89,41,99,47
Home,Vinicius,Cross,32,30,84,8,90,53
Home,Vinicius,Cross,32,47,99,2,81,59
Home,Vinicius,Shot,32,55,89,24,100,54
Home,Vinicius,Pass,47,33,77,11,74,24
Home,Vinicius,Pass,47,37,87,20,88,44
Home,Vinicius,Pass,47,41,49,22,33,32
Home,Vinicius,Pass,55,20,68,16,63,26
Home,Vinicius,Pass,55,23,73,19,82,20
Home,Vinicius,Pass,55,27,91,6,84,12
Home,Vinicius,Cross,55,36,74,27,64,92
Home,Vinicius,Cross,60,4,54,5,94,75
Home,Vinicius,Cross,60,16,92,7,73,74
Home,Vinicius,Shot,76,17,86,30,98,56
Home,Vinicius,Shot,79,5,81,36,97,59
Home,Vinicius,Pass,79,10,95,30,97,46
Home,Vinicius,Shot Assist,79,16,96,33,93,46
Home,Vinicius,Shot Assist,83,0,84,27,99,56
Home,Vinicius,Shot,83,10,89,50,99,52
Home,Vinicius,Dribble,83,21,54,10,82,42
Home,Vinicius,Pass,83,24,83,46,84,58
Home,Vinicius,Shot,83,28,87,46,99,46
Home,Vinicius,Pass,89,0,42,7,42,23
Home,Vinicius,Pass,89,5,52,6,65,15
Home,Vinicius,Dribble,89,9,65,13,77,22
Home,Vinicius,Cross,89,13,77,20,93,61
